Question Number,Question,Concepts
1,"If the sizes of charged bodies are very small compared to the distances between them, we treat them as ____________.","Electrostatics, Point Charges, Idealizations in Physics"
2,"What is the dielectric constant of a metal?","Electrostatics, Dielectric Properties, Conductors vs Insulators"
3,"————— gives the information on field strength, direction, and nature of the charge.","Electric Field, Field Lines, Charge Behavior"
4,"The work done in moving a unit positive test charge over a closed path in an electric field is _____________.","Electrostatics, Conservative Forces, Work-Energy Principle"
5,"What happens when a glass rod is rubbed with silk?","Electrostatics, Triboelectric Effect, Charge by Friction"
6,"What is the formula to find the work done in rotating the dipole in a uniform magnetic field from θ1 to θ2?","Magnetostatics, Magnetic Dipole in Field, Torque and Work"
7,"The magnetic dipole moment of a magnetic dipole is given by the formula ________.","Magnetostatics, Magnetic Dipole Moment, Magnetic Properties"
8,"A freely suspended magnet aligns in which direction?","Magnetism, Earth's Magnetic Field, Magnetic Alignment"
9,"The power factor is one for which of the following?","AC Circuits, Power Factor, Purely Resistive Circuits"
10,"Which of the following statements is true about the LCR circuit connected to an AC source at resonance?","AC Circuits, LCR Resonance, Impedance Matching"
11,"How can the fringe width increase in Young's double-slit experiment?","Wave Optics, Interference, Fringe Width Dependence"
12,"Which of the following light phenomena confirms the transverse nature of light?","Wave Optics, Polarization, Light Properties"
13,"Polaroid glasses are used in sunglasses because","Wave Optics, Polarization Applications, Glare Reduction"
14,"Which of the following does the wave theory of light not explain?","Modern Physics, Limitations of Wave Theory, Photoelectric Effect"
15,"Which of the following is conserved when light waves interfere?","Wave Optics, Interference, Energy Conservation"
16,"What is the geometric shape of the wavefront that originates when a plane wave passes through a convex lens?","Wave Optics, Huygens' Principle, Wavefront Transformation"
17,"A radioactive nucleus emits a beta particle, then the parent and daughter nuclei are","Nuclear Physics, Beta Decay, Isobars"
18,"A nucleus undergoes gamma decay due to","Nuclear Physics, Gamma Emission, Excited Nuclear States"
19,"Isotones have the same number of","Nuclear Physics, Isotones, Neutron Count"
20,"What is the phase difference between electric and magnetic fields in an electromagnetic wave?","Electromagnetic Waves, E and B Fields, Phase Relationship"
